date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2011,2.209663509,2.255037187,-0.043103484,-1.891956894,-2.573033075,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2011,1.992938289,2.047441599,-0.052442107,-0.724601371,-1.150802647,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2011,1.755626193,1.917484089,-0.159927524,-0.473063898,0.261040474,,,1.015434052,-0.245306405,-0.202774733,0.653059212,0.251456984,1.528041097,2.145103547,0.687789588,-0.195246127,0.998993279,0.770127646,,,,,,,,,
10/1/2011,2.339222499,2.187625651,0.153799177,0.874837815,-0.055889166,,,,,,,,,,,,,,,,,,,,,,
1/1/2012,2.901855079,2.567381138,0.337058577,1.602897863,-0.934430836,,,,,,,,,,,,,,,,,,,,,,
4/1/2012,3.302377458,2.986676075,0.318708133,1.742004333,-1.502377458,,,,,,,,,,,,,,,,,,,,,,
7/1/2012,3.203236525,3.047589927,0.158714671,1.539767234,-1.136569858,,,,,,,,,,,,,,,,,,,,,,
10/1/2012,3.25086467,2.963333225,0.290514695,1.661916126,-1.25086467,,,,,,,,,,,,,,,,,,,,,,
1/1/2013,3.165397928,3.134100823,0.03445227,1.156279874,-1.165397928,,,,,,,,,,,,,,,,,,,,,,
4/1/2013,3.045645401,3.220849479,-0.171961581,0.861547361,-0.945645401,,,,,,,,,,,,,,,,,,,,,,
7/1/2013,3.389358523,3.007173164,0.385212744,1.555113704,-1.222691856,,,,,,,,,,,,,,,,,,,,,,
10/1/2013,3.36658781,2.940424246,0.429123751,1.404405625,-1.484012053,,,,,,,,,,,,,,,,,,,,,,
1/1/2014,3.519017249,2.805252285,0.71658907,1.5242655,-2.166636297,,,,,,,,,,,,,,,,,,,,,,
4/1/2014,3.891841441,2.728515501,1.166072795,2.0317372,-2.925174775,,,,,,,,,,,,,,,,,,,,,,
7/1/2014,2.829939835,2.746063683,0.086640671,0.560954401,-2.275773168,,,,,,,,,,,,,,,,,,,,,,
10/1/2014,3.437078141,2.654515859,0.785234639,1.490124148,-3.424956929,,,,,,,,,,,,,,,,,,,,,,
1/1/2015,2.027939787,2.926382592,-0.895496754,-0.063043734,-1.927939787,,,,,,,,,,,,,,,,,,,,,,
4/1/2015,2.710253523,2.717482871,-0.004493601,1.231284991,-2.810253523,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,2.247505089,2.522937227,-0.272892244,0.815131896,-2.714171756,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2015,1.81899105,2.626558711,-0.804923449,0.388057711,-2.075340257,,,lambda_g,0.084227527,,,-252.9625041,,,,,,,,,,,,,,,
1/1/2016,1.52704298,2.676577682,-1.146840135,0.398213571,-1.42704298,,,lambda_z,0.138263133,,,,,,,,,,,,,,,,,,
4/1/2016,0.980899545,2.530920693,-1.547473217,-0.137370121,-0.714232878,,,,,,,,,,,,,,,,,,,,,,
7/1/2016,0.649716523,2.597083959,-1.944752897,-0.545428177,-0.183049856,,,,,,,,,,,,,,,,,,,,,,
10/1/2016,-0.261549034,2.611241219,-2.870161462,-1.596774973,0.794882367,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2017,-0.44582641,2.389315883,-2.832736919,-1.943580714,0.774225306,,,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2017,-0.209209307,2.477311501,-2.684026846,-1.544810148,-0.016548269,,,1056.016247,1055.330599,1054.644393,0.685647371,0.68620664,0.686417606,0,0,0,,,,,,,,,,,
7/1/2017,-0.302069854,2.642842331,-2.94225158,-1.087534851,0.102069854,,,,,,,,,,,,,,,,,,,,,,
10/1/2017,0.107420243,2.477810052,-2.367895346,-0.173554233,-0.174086909,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2018,0.44869699,2.501081686,-2.049866805,0.421458015,-0.54869699,,,0.87298866,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2018,0.664478407,2.516566509,-1.849554621,0.859764387,-0.964478407,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2018,0.328984195,2.394154836,-2.062760395,0.384357821,-0.828984195,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2018,0.476655834,2.503533283,-2.024357089,0.546787594,-0.742564925,,,0.2,0,0,0.203355512,0.2,0,0,0,0,,,,,,,,,,,
1/1/2019,-0.620843913,2.489647276,-3.107984809,-0.74931023,0.741298459,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
